customer_text,draft_reply,judge_score,human_score
"@AmazonHelp refund for 501533 is taking forever, when will i see the money back","Apologies for the delay. I've checked and your refund for order 501533 was processed, it can take 3-5 business days to reflect. -MK",4,4
"@AmazonHelp any update on order 929718, tracking hasn't moved since 6 days ago 😡","So sorry about this delay. I've looked into order 929718 and it's showing movement as of today, expected delivery tomorrow. -MK",4,4
package 630647 arrived open and half the items missing @AmazonHelp,"I'm really sorry to hear that. I've filed a replacement for order 630647, it'll ship today at no extra cost. -DS",4,4
how do I cancel order 182216? placed it 10 mins ago @AmazonHelp,"Order 182216 has been cancelled successfully, refund (if charged) will process in 3-5 days. -DS",4,4
"@AmazonHelp refund for 626584 is taking forever, when will i see the money back #fail","I've gone ahead and issued the refund for order 626584 directly, you should see it within 5 business days. -RJ",4,5
@AmazonHelp your app keeps crashing every time I try to check my orders,That's not the experience we want for you. Please DM us so we can look into this further. -MK,3,4
"requesting a refund for order 487728, item was not as described",Sorry about that! I can see the return was received; refund for 487728 is being processed now. -DS,4,4
"@AmazonHelp item from order 780840 stopped working after 2 days, defective","Apologies for the mix-up. I've flagged order 780840 for a correct replacement, it'll ship today. -DS",4,4
how do I cancel order 592972? placed it 10 mins ago @AmazonHelp 😡,"Order 592972 has been cancelled successfully, refund (if charged) will process in 3-5 days. -DS",4,5
"so done with @AmazonHelp, nothing but problems this month",That's not the experience we want for you. Please DM us so we can look into this further. -MK,3,3
"@AmazonHelp need to cancel order 641922 asap, ordered by mistake","I've cancelled order 641922 for you, you won't be charged. -MK",4,5
"@AmazonHelp need to cancel order 838315 asap, ordered by mistake","Order 838315 has been cancelled successfully, refund (if charged) will process in 3-5 days. -DS",4,4
@amazonhelp your app keeps crashing every time i try to check my orders,That's not the experience we want for you. Please DM us so we can look into this further. -MK,3,2
"still waiting on order 630155 from @amazonhelp, no tracking info at all","So sorry about this delay. I've looked into order 630155 and it's showing movement as of today, expected delivery tomorrow. -MK",4,4
"@AmazonHelp any update on order 293079, tracking hasn't moved since 7 days ago","I hear you, that's frustrating. Order 293079 left our facility yesterday and tracking will update within 24h. -RJ",4,4
"@AmazonHelp refund for 840469 is taking forever, when will i see the money back","I've gone ahead and issued the refund for order 840469 directly, you should see it within 5 business days. -RJ",4,4
"@AmazonHelp need to cancel order 489684 asap, ordered by mistake","I've cancelled order 489684 for you, you won't be charged. -MK",4,4
"@AmazonHelp item from order 957424 stopped working after 2 days, defective #fail","Apologies for the mix-up. I've flagged order 957424 for a correct replacement, it'll ship today. -DS",4,5
hey @AmazonHelp where is my order #669126?? it's been 6 days,"Hi, sorry for the wait! I can see order 669126 is currently in transit and should arrive within 2 days. Tracking: bit.ly/track669126 -DS",4,3
"@AmazonHelp placed order 698032 last week, still says 'preparing for shipment' wtf","So sorry about this delay. I've looked into order 698032 and it's showing movement as of today, expected delivery tomorrow. -MK",4,4
"@AmazonHelp my package for order 546772 arrived DAMAGED, box was crushed 😡","So sorry for the trouble. I've escalated order 546772 to our carrier investigation team, you'll hear back in 24-48h. -RJ",5,4
how do I cancel order 842084? placed it 10 mins ago @AmazonHelp,"Order 842084 has been cancelled successfully, refund (if charged) will process in 3-5 days. -DS",4,4
"@AmazonHelp item from order 845859 stopped working after 2 days, defective","I'm sorry about that! I've started a replacement for order 845859, no need to wait for the return. -RJ",4,5
"@AmazonHelp received the wrong item for order 381281, ordered a charger got headphones","I'm sorry about that! I've started a replacement for order 381281, no need to wait for the return. -RJ",4,4
