tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id,_true_intent,_should_escalate
1,cust87397,True,2019-07-02,"can't sign in to my account, says 'suspicious activity' @AmazonHelp",2,,account_access,True
2,AmazonHelp,False,2019-01-03,That sounds concerning. Please send us a DM with your registered email so we can secure your account right away. -MK,,1,account_access,True
3,cust10851,True,2019-03-23,"@AmazonHelp my package for order 343962 arrived DAMAGED, box was crushed",4,,delivery_issue,False
4,AmazonHelp,False,2019-07-11,"So sorry for the trouble. I've escalated order 343962 to our carrier investigation team, you'll hear back in 24-48h. -RJ",,3,delivery_issue,False
5,cust70217,True,2019-09-04,"@AmazonHelp courier left order 263032 at the wrong address, this is the 2nd time 😡",6,,delivery_issue,False
6,AmazonHelp,False,2019-07-03,"I'm really sorry to hear that. I've filed a replacement for order 263032, it'll ship today at no extra cost. -DS",,5,delivery_issue,False
7,cust20458,True,2019-04-28,"@AmazonHelp this is fraud, I never ordered 407419 but got charged $89.99 #fail",8,,billing_dispute,True
8,AmazonHelp,False,2019-02-13,"I understand the concern - for account security I can't verify charges here, please DM us so we can look into order 407419. -RJ",,7,billing_dispute,True
9,cust89840,True,2019-11-06,"@AmazonHelp courier left order 575435 at the wrong address, this is the 2nd time",10,,delivery_issue,False
10,AmazonHelp,False,2019-09-24,"I'm really sorry to hear that. I've filed a replacement for order 575435, it'll ship today at no extra cost. -DS",,9,delivery_issue,False
11,cust17331,True,2019-04-27,package 271339 arrived open and half the items missing @AmazonHelp,12,,delivery_issue,False
12,AmazonHelp,False,2019-01-26,"That's not okay, apologies. I've marked order 271339 as not-received and a reshipment is on the way. -MK",,11,delivery_issue,False
13,cust94259,True,2019-08-05,"@AmazonHelp my package for order 520651 arrived DAMAGED, box was crushed",14,,delivery_issue,False
14,AmazonHelp,False,2019-05-05,"I'm really sorry to hear that. I've filed a replacement for order 520651, it'll ship today at no extra cost. -DS",,13,delivery_issue,False
15,cust76784,True,2019-08-03,"@AmazonHelp courier left order 881177 at the wrong address, this is the 2nd time",16,,delivery_issue,False
16,AmazonHelp,False,2019-01-28,"So sorry for the trouble. I've escalated order 881177 to our carrier investigation team, you'll hear back in 24-48h. -RJ",,15,delivery_issue,False
17,cust82512,True,2019-01-22,"@AmazonHelp any update on order 260265, tracking hasn't moved since 12 days ago 😡",18,,order_status,False
18,AmazonHelp,False,2019-12-04,"I hear you, that's frustrating. Order 260265 left our facility yesterday and tracking will update within 24h. -RJ",,17,order_status,False
19,cust44522,True,2019-09-25,"can't sign in to my account, says 'suspicious activity' @AmazonHelp",20,,account_access,False
20,AmazonHelp,False,2019-03-17,That sounds concerning. Please send us a DM with your registered email so we can secure your account right away. -MK,,19,account_access,False
21,cust10074,True,2019-10-11,"so done with @AmazonHelp, nothing but problems this month",22,,general_complaint,False
22,AmazonHelp,False,2019-08-01,"I'm really sorry to hear about your experience. I'd like to make this right, can you DM us more details? -RJ",,21,general_complaint,False
23,cust79822,True,2019-03-05,"@AmazonHelp any update on order 480612, tracking hasn't moved since 6 days ago #fail",24,,order_status,False
24,AmazonHelp,False,2019-11-16,"Hi, sorry for the wait! I can see order 480612 is currently in transit and should arrive within 2 days. Tracking: bit.ly/track480612 -DS",,23,order_status,False
25,cust62296,True,2019-11-21,"so done with @AmazonHelp, nothing but problems this month",26,,general_complaint,False
26,AmazonHelp,False,2019-06-15,That's not the experience we want for you. Please DM us so we can look into this further. -MK,,25,general_complaint,False
27,cust19305,True,2019-12-21,"@AmazonHelp need to cancel order 642717 asap, ordered by mistake",28,,cancellation,False
28,AmazonHelp,False,2019-01-08,"I've cancelled order 642717 for you, you won't be charged. -MK",,27,cancellation,False
29,cust84847,True,2019-10-16,hey @AmazonHelp where is my order #132938?? it's been 7 days,30,,order_status,False
30,AmazonHelp,False,2019-04-26,"I hear you, that's frustrating. Order 132938 left our facility yesterday and tracking will update within 24h. -RJ",,29,order_status,False
31,cust98259,True,2019-11-21,@AmazonHelp I returned order 946721 2 weeks ago and still no refund,32,,refund_request,False
32,AmazonHelp,False,2019-02-02,"Apologies for the delay. I've checked and your refund for order 946721 was processed, it can take 3-5 business days to reflect. -MK",,31,refund_request,False
33,cust19880,True,2019-08-26,@AmazonHelp I returned order 863587 2 weeks ago and still no refund,34,,refund_request,False
